No.,Tanggal Iklan,URL,Harga,Kota,LT (m²),LB (m²),KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
94,1 Juli 2020,https://www.rumah123.com/properti/lombok-utara/hos6818999/,Rp. 8.500.000.000,"Gili Air, Lombok Utara",650,400,5,4,0,0,0,0,0,SHM,"Beautiful Resort at Gili Air, Lombok","Beautiful Resort at Gili Air, Lombok For Sale

Location: Gili Air, Lombok
350 meters from Beach
Walking distance to restaurants and cafes
Details:
- Freehold IMB (2016)
- Land size: 650 sqm
- Consist of : 3 x 1 bedroom villas
1 x 2 bedroom villas
- Total 5 bedrooms with 4 bathrooms
- Each villa offers: - Private pool
- Living and dining room
- Kitchen
- Terrace
- Resort facilities: Reception, staff room, laundry area, 2 stock, WiFi
- Sold with Fully Furnished
- The business was running very well

Price: IDR 8,5 Billion (negotiable)
ind-220620"
95,6 Maret 2020,https://www.rumah123.com/properti/lombok-utara/hos6252078/,Rp. 7.000.000.000,"Gili Trawangan, Lombok Utara",1300,500,7,7,0,0,0,0,0,SHM,Hotel di Gili Trawangan - Lombok,"Hotel di Gili Trawangan - Lombok
code : 265
Luas tanah 1.300 m2
Terdiri dari 7 kamar tidur
Kolam renang
Reception, dapur, mess
Masih banyak lahan kosong untuk dikembangkan
Harga Rp 7 Milyar"
96,7 Februari 2020,https://www.rumah123.com/properti/lombok-barat/hos6073030/,Rp. 8.000.000.000,"Senggigi, Lombok Barat",1000,400,4,4,0,0,0,0,7700,SHM,VILLA VIEW LAUT DAN GUNUNG AGUNG SIAP DI PINANG PENGHASIL DOLLAR,"Villa Dijual Lombok Barat DIJUAL VILLA VIEW PANTAI SENGGIGI DAN GUNUNG AGUNG



VILLA KOMERSIL YANG COCOK UNTUK INVESTASI PENGHASIL DOLLAR



LOKASI BERADA DI KAWASAN HOTEL BERBINTANG PANTAI BUKIT SENGGIGI



LUAS TANAH 1000M2

LUAS VILLA 400M2



FASILITAS

4 MASTER ROOM

1 MAID ROOM

SWIMMINGPOOL

GARDEN

CARPORT 4 MOBIL

AKSES JLN ASPAL

SHM"
97,16 September 2019,https://www.rumah123.com/properti/lombok-utara/hos4999677/,"Rp. 9.400.000.000,00","Gili Air, Lombok Utara",600,370,3,3,0,0,0,0,0,HGB,Brand New Beach Front Villa Lombok,"COCANA Gili Trawangan Lombok

BRAND NEW BEACH FRONT VILLA

Beach Front Villa and Lagoon Suites
Freehold Title or 100-years Lease
Can be used as Residence or managed
Facilities : Beach Club, Wellness

Lagoon Suite : Unit size 46,5 m2 - Rp. 1.600.000.000,-
1 Bedroom Villa : Land/ Build 150/ 135 - Rp. 3.700.000.000,-
2 Bedroom Villa : Land/ Build 300/ 255 - Rp. 5.900.000.000,-
3 Bedroom Villa : Land/ Build 600/ 370 - Rp. 9.400.000.000,-

In House Financing 30% - 24x monthly payment 0%
If managed guarantee ROI : 5 years x 6 %

Call me :
Roni Gunawan
WA : +6281232996050
Email : roni@raywhitekuta.com
https://raywhitekuta.com/property/agent/235/Roni-Gunawan
Web : www.raywhitekuta.com

#mc #timetobuy #house #housing #furnishings #pool #listyourhome #carport #properti #propertibali #propertybali #cunproperty #resikproperty #properties #property #raywhite #raywhitekuta #investment #raywhiteindonesia #baliproperty #bali #luxuryliving #luxurylifestyle #luxuryresort #luxuryvilla #luxuryvillas #realestate #balirea"
98,12 Maret 2019,https://www.rumah123.com/properti/karangasem/hos4352761/,Rp. 9.747.000.000,"Candi Dasa, Karangasem",858,320,4,4,0,0,1,0,0,PPJB,Absolute Waterfront Villa In A Superb Setting - 1798 - P,"Blessed with picture-perfect ocean views, with a modern contemporary design and clean lines all bathed in white, this gorgeous waterfront property sits on a simply stunning setting, overlooking the Lombok straight and Nusa Penida. Fronting the pool, the living and dining pavilions are ideally located at the front of the property, boasting 180 degree ocean views, and feature large sliding glass doors that creates beautiful indoor/outdoor spaces. All the generously sized bedrooms are equipped with its own en-suite bathroom. Extremely private and quiet, yet within walking distance to many dining options, this is the perfect place to call home or operate as a holiday rental property.

. Gorgeous contemporary four bedroom waterfront villa in a simply stunning setting
. Absolute unobstructed ocean views from the living dining pavilions as well as the pool
. Open plan living spaces that can be enclosed with glass sliding doors to create a pleasant indoor/outdoor floor

Price : USD 690,000"
99,9 September 2018,https://www.rumah123.com/properti/lombok-utara/hos3755311/,Rp. 9.570.000.000,"Gili Trawangan, Lombok Utara",600,370,3,3,0,0,0,0,0,PPJB,Three-Bedroom Villa in Prime Location on Gili Trawangan,"This luxurious three-bedroom freehold villa represents the pinnacle of island living, with each of its bedrooms enjoying their own private surroundings.

The bathrooms are designed in a modern yet tranquil style, while the pool and lounging areas showcase world class landscaping.

The cleverly designed living areas offers the choice of open-air living or air-conditioned comfort. Land size 600sqm, building size 370sqm.

The villa is enhanced with spectacular sunset views, turquoise waters, fantastic diving and white sandy beaches.

Your Villa is the perfect getaway for use as you require, either as your private residence or to enjoy your high yields as part of the resort. With 28 days per-year usage with a 6% guaranteed ROI for 3 years, you can relax and enjoy amazingly strong capital appreciation.
The paradise island of Gili Trawangan, off Lombok''s northwest coast is a must-visit destination for Bali''s significant tourism market.
The paradise island of Gili Trawangan, off Lombok''s northwest coast, is a must-visit destination for Bali''s significant tourism market. Hurry! There is a limited supply of villas of this size on the island."
100,27 November 2017,https://www.rumah123.com/properti/lombok-barat/hos2949875/,Rp. 6.000.000.000,"Senggigi, Lombok Barat",2470,1000,11,11,0,0,0,0,0,SHM,Hotel dipinggir jalan raya Sengiggi,"Dijual cepat! Hotel dipinggir jalan raya Sengiggi.
Luas tanah 2,470 m2.
Terdiri dari 11 kamar tidur + 11 kamar mandi.
Facilities : kolam renang, Bar, restaurant, Lobby/office.
Sertifikat Hak Milik.
Ijin dan IMB tersedia.
5 menit menuju pantai terdekat.
20 menit dari kota Mataram.
90 menit dari Bandara International Lombok.

Harga IDR 6 Milyar."
101,12 Agustus 2017,https://www.rumah123.com/properti/lombok-utara/hos2698460/,Rp. 7.500.000.000,"Gili Trawangan, Lombok Utara",1400,700,6,6,0,0,0,0,11000,SHM,"Cottage di Gili Trawangan,Lombok,NTB","Lokasi hanya 100 meter dari pantai. Cocok untuk investasi. Luas Tanah : 14 are. Luas Bangunan : 7 are. Ada 6 cottage, dilengkapi kolam renang. SHM. IMB"
102,12 Oktober 2016,https://www.rumah123.com/properti/lombok-barat/hos2181391/,Rp. 6.000.000.000,"Senggigi, Lombok Barat",1269,232,3,3,0,0,0,0,-,SHM,"Villa di Pinggir Pantai, Senggigi Lombok","Segera Di Jual Villa di Senggigi Lombok, Memiliki Luas Tanah 1.269m bangunan 232m dengan area sekitar Villa,Restaurant, dan Pantai"
103,7 April 2021,https://www.rumah123.com/properti/lombok-tengah/hos8134050/,Rp. 19.500.000.000,"Pujut, Lombok Tengah ",17600,370,5,5,0,0,0,0,13500,HGB,Villa di Lombok Mandalika NTB,"Villa Dijual Lombok Tengah BISNIS YANG SUKSES 5 VILLA MEWAH+ 45% TANAH -OCEAN VIEW UNTK DIJUAL -DI LOMBOK MANDALIKA, DENGAN REPUTASI SANGAT BAIK ( BOOKING, TRIPADVISOR, GOOGLE, FB ) + 45% -TANAH - PLOT BANGUNAN UNTUK TAMBAHAN BARU (2-3 VILA + SPA) DENGAN PEMANDANGAN PANORAMA LAUT, POHON PALEM, DAN MATAHARI TERBENAM."
104,23 Maret 2021,https://www.rumah123.com/properti/lombok-tengah/hos8069091/,Rp. 19.500.000.000,"Pujut, Lombok Tengah",1760,360,0,0,0,0,0,0,13500,HGB,Villa Jual Lombok Cocok untuk Bisnis Investor Welcome,"Villa bisnis hotel berbintang 3, view langsng ke Pantai (3 KM), Area Moto GP dan Lapangan Golf. Arsitektur eropa, 1 kawasan ada 5 villa dengan taman pribadi. Fasilitas Villa lengkap dari Kolam renang, Teras pribadi, wifi, water heater, parking area, dapur, dll"
105,7 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos8007299/,Rp. 19.500.000.000,"Senggigi, Lombok Barat",1760,490,5,5,0,0,0,0,13900,HGB,Villa Mewah Di Mandalika Lombok,"Di jual Villa establish Lombok Barat Villa mewah dengan panorama.exotic golf course dan sircuit motto GP di lombok, adalah salah satu villa yg di kelola secara profesional dengan rating sangat bagus di TripAdvisor,.booking.com dan facebook."
106,14 November 2020,https://www.rumah123.com/properti/lombok-utara/hos7554884/,Rp. 12.500.000.000,"Gili Trawangan, Lombok Utara",628,-,6,0,0,0,0,0,-,SHM,Villa Gili Trawangan Lombok Utara,"Dijual cepat, Lokasi Gili Trawangan Lombok, Villa ada 8 Kamar, Lt 628m, 6 untuk tamu semua dilantai 1, 2 kamar utama, kolam renang, Ac, dll"
107,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7438756/,Rp. 18.000.000.000,"Batu Layar, Lombok Barat",2000,900,10,10,0,1,0,0,16000,SHM,Batu layar lombok good location good invest!,"Lokasi mantap, view ok, Lt 200, Listrik 16000, Air Sumur, Kamar 10, Kamar mandi dalam, kamar staff 2, gudang 2, dll"
108,24 Juni 2020,https://www.rumah123.com/properti/lombok-barat/hos6763273/,"Rp, 12.440.000.000","Pemenang, Lombok Barat",300,516,7,10,0,0,0,0,-,PPJB,Villa 7 Bedrooms in Gili Meno Lombok,"This resort of currently 4 bungalows , 1 double bedroom with private pool and a villa for rent . ( possibility of 4 more accomodation already built) ."
109,24 Desember 2019,https://www.rumah123.com/properti/lombok-barat/hos5813084/,Rp. 19.000.000.000,"Senggigi, Lombok Barat",1275,1000,13,13,0,0,0,0,-,SHM,Hotel di Centra Senggigi,"Hotel di Centra Senggigi, code : 252, Lt 1275 m persegi, terdiri dari 8 kamar premium, 5 kamar backpacker, kolam renang, Bar dan restaurant."
110,3 Oktober 2018,https://www.rumah123.com/properti/lombok-utara/hos3854933/,Rp. 14.257.000.000,"Gili Menok, Lombok Utara",1150,453,7,7,0,0,0,1,4400,SHM,Brand New Key Business in Lombok VL1584,This amazing freehold real estate resort is located in a beautiful area of Lombok. This gorgeous villa resort offers 7 en-suite bedrooms with quality bathrooms. It is built in a unique concept with finest quality materials and great attention to the details. It provides great luxury and comfort through its exquisite furnishing and artistic interior.
111,12 Juli 2017,https://www.rumah123.com/properti/lombok-barat/hos2631738/,Rp. 16.000.000.000,"Batu Layar, Lombok Barat",1000,950,3,3,0,0,0,0,-,SHM,Villa Murah Batu Layar Lombok Barat NTB,"LT 1000, LB 950, KT 3, KM 3, SHM, IMB, 2 Lantai"
112,02 Juli 2015,https://www.rumah123.com/properti/lombok-barat/hos1649283/,Rp. 16.000.000.000,"Senggigi, Lombok Barat",1000,950,3,1,0,1,0,2,7700,SHM,"Exclusive Villa View Laut Abadi Dkt Senggigi,mataram",Dijual Villa di Pulau Lombok Nusa Tenggara Barat. Dibangun dengan bahan berkwalitas serta diatas lereng bukit sehingga kita bisa mendapat pemandangan yang menakjubkan. Dengan fasilitas lengkap anda bisa bersantai bersama pasangan dan keluarga.
113,05 April 2021,https://www.rumah123.com/properti/lombok-barat/hos8126036/,Rp. 27.500.000.000,"Batu Layar, Lombok Barat",1200,1200,6,6,0,0,3,4,25000,SHM,Rumah di perumahan. Green valey sengigi lombok NTB,Di jual rumah di perumahan. Green valey sengigi lombok NTB. Tahan gempa sd 7.2 SR (sdh teruji). Kayu Merbau klas 1 super. Bangunan dibuat presisi tinggi dengan bahan kualitas terbaik
114,06 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos8002789/,Rp. 27.000.000.000,"Senggigi, Lombok Barat",1200,1200,6,6,0,0,3,4,23000,SHM,Villa Mewah Bangunan Tahan Gempa Senggigi Lombok Barat,"Villa Dijual Lombok barat Villa Mewah Bangunan Tahan Gempa Senggigi Lombok Barat, Lt 1200, Lb 1200, Bangunan Thn 2019"
115,03 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos7985667/,Rp. 27.000.000.000,"Batu Layar, Lombok Barat",1200,1200,6,6,0,3,0,0,23000,SHM,Villa Cantik Semi Furnished Bangunan Tahan Gempa Senggigi Lombok NTB,"Villa Dijual Lombok barat Villa Cantik Bangunan Tahan Gempa Senggigi Lombok Barat, Lt 1200, Lb 1200."
116,21 Desember 2020,https://www.rumah123.com/properti/lombok-tengah/hos7693319/,Rp.25.000.000.000,"Pujut, Lombok Tengah",5100,2000,14,14,0,0,0,0,-,SHM,Hotel di central Kuta Lombok,"Hotel di central Kuta Lombok, code : 276, Luas tanah 5.100 m2, Jumlah kamar 14 unit, Kolam renang."
117,16 Maret 2020,https://www.rumah123.com/properti/lombok-utara/hos6297066/,Rp. 48.000.000.000,"Gili Trawangan, Lombok Utara",8336,3000,8,8,0,1,0,1,95000,SHM,Luxurious and Modern Beachfront of White Sand Villas in Gili Island,"Situated on the quiet western side of the island, absolute beachfront location with stunning sunset view at the background the volcano Agung in Bali. The resort is a veritable haven of modern Indonesian design and antiquities. The resort is modern and luxurious giving one a sense of traditional Indonesian lifestyle, 8 spacious king-size bedrooms with semi-open bathrooms within tropical garden, semi open living area with a bar overlooking the private freshwater pool or Jacuzzi. Each room offers spacious yet cozy outdoor spaces with stunning sunset view."
118,02 Januari 2020,https://www.rumah123.com/properti/lombok-utara/hos5841567/,Rp. 24.000.000.000,"Gili Air, Lombok Tengah",6600,1500,10,10,0,0,0,0,-,PPJB,Beautiful Complex Villa Good For Investment In Gili Air VL2089,This beautiful freehold real estate complex is located in a quiet corner of Gili Air. This stunning real estate complex features 10 en-suite bedrooms with classy bathrooms. It is fully furnished and decorated in a great taste with expensive furnishing and interior.
119,21 Februari 2019,https://www.rumah123.com/properti/lombok-utara/hos4294713/,Rp. 34.020.000.000,"Gili Trawangan, Lombok Utara",9720,297,5,5,0,0,0,0,-,PPJB,Freehold and Is a Prime Option For Development Into a Beachfront Resort or Villa Complex VL1931,"This property is a rectangular block of land situated on the south east corner of Gili Trawangan. It is near enough to the main village amenities such as restaurants, diving centres, shops cafes to cycle in 10 minutes but far enough away to be able to wake up to the sound of birds go to sleep with the sound of waves."
120,17 Mei 2018,https://www.rumah123.com/properti/lombok-utara/hos3437169/,RP. 28.057.000.000,"Gili Trawangan, Lombok Utara",2830,546,7,7,0,0,0,0,47500,SHM,Modern Luxurious Beachfront Villa In Gili Trawangan VL1738,"This modern style luxurious beachfront freehold real estate is located in a quiet beach are of Gili Trawangan. This marvelous villa features 7 spacious, cozy and comfortable en-suite bedrooms with quality bathrooms."
